,Country,Lat,Long,Confirmed,Deaths,Recovered,Recovery_percent,Death_percent
62,Cabo Verde,16.5388,-23.0418,9149,97,8289,0.906000655809378,1.0602251612198057
63,Cambodia,11.55,104.9167,292,0,286,0.9794520547945206,0.0
64,Cameroon,3.8480000000000003,11.5021,22103,429,21151,0.9569289236755192,1.940912998235533
65,Canada,56.1304,106.3468,30447,343,23874,0.7841166617400729,1.1265477715374257
66,Canada,56.1304,106.3468,16560,273,12898,0.7788647342995169,1.6485507246376812
67,Canada,56.1304,106.3468,0,1,0,,
68,Canada,56.1304,106.3468,13,0,13,1.0,0.0
69,Canada,56.1304,106.3468,7177,91,2920,0.40685523199108264,1.2679392503831683
70,Canada,56.1304,106.3468,349,6,315,0.9025787965616046,1.7191977077363896
71,Canada,56.1304,106.3468,294,4,285,0.9693877551020408,1.3605442176870748
72,Canada,56.1304,106.3468,10,0,10,1.0,0.0
73,Canada,56.1304,106.3468,1119,65,1036,0.9258266309204647,5.808757819481679
74,Canada,56.1304,106.3468,82834,3245,71476,0.8628823912886013,3.917473501219306
75,Canada,56.1304,106.3468,64,0,64,1.0,0.0
76,Canada,56.1304,106.3468,111056,6378,94884,0.8543797723670941,5.743048552081832
77,Canada,56.1304,106.3468,3536,25,2634,0.7449095022624435,0.7070135746606335
78,Canada,56.1304,106.3468,23,1,20,0.8695652173913043,4.3478260869565215
79,Central African Republic,6.6111,20.9394,4866,62,1924,0.395396629675298,1.2741471434443077
80,Chad,15.4542,18.7322,1529,99,1354,0.8855461085676913,6.474820143884893
81,Chile,-23.6509,-70.3975,21506,542,20742,0.9644750302241235,2.5202269134195108
82,Chile,-38.9489,-72.3311,13241,164,12049,0.9099765878710068,1.2385771467411828
83,Chile,-18.594,-69.4785,9730,188,9319,0.95775950668037,1.9321685508735869
84,Chile,-27.5661,-70.0503,7906,92,7741,0.9791297748545409,1.163673159625601
85,Chile,-45.9864,-73.7669,1082,6,1015,0.9380776340110906,0.5545286506469501
86,Chile,-37.4464,-72.1416,30459,504,28651,0.9406415181063068,1.6546833448241898
87,Chile,-29.959,-71.3389,12733,253,12408,0.974475771617058,1.9869630095028663
88,Chile,-41.9198,-72.1416,15780,135,14486,0.9179974651457541,0.8555133079847909
89,Chile,-40.231,-72.3311,3898,34,3350,0.8594150846587993,0.8722421754746024
90,Chile,-52.368,-70.9863,12645,143,12047,0.9527085804665876,1.1308817714511663
91,Chile,-35.5183,-71.6885,19224,424,18252,0.949438202247191,2.2055763628797336
92,Chile,-33.4376,-70.6505,298153,9941,286088,0.9595341988844653,3.3341941888895965
93,Chile,-36.7226,-71.7622,7613,154,7233,0.9500853802705898,2.0228556416655716
94,Chile,-34.5755,-71.0022,18846,503,18098,0.9603098800806538,2.6690013796030994
