,Date,State,Average_cases,Average_death,Average_recovery,Death_percent,Recovery_percent
4,2020-01,AZ,0.6,0.0,0.6,0.0,100.0
5,2020-01,CA,1.3,0.0,1.3,0.0,100.0
17,2020-01,IL,0.9,0.0,0.9,0.0,100.0
56,2020-01,WA,1.0,0.0,1.0,0.0,100.0
64,2020-02,AZ,1.0,0.0,1.0,0.0,100.0
65,2020-02,CA,7.793103448275862,0.0,7.793103448275862,0.0,100.0
72,2020-02,GA,0.06896551724137931,0.0,0.06896551724137931,0.0,100.0
77,2020-02,IL,2.0,0.0,2.0,0.0,100.0
82,2020-02,MA,1.0,0.0,1.0,0.0,100.0
102,2020-02,OR,0.034482758620689655,0.0,0.034482758620689655,0.0,100.0
116,2020-02,WA,1.206896551724138,0.034482758620689655,1.1724137931034482,2.86,97.14
120,2020-03,AK,26.741935483870968,0.5161290322580645,26.225806451612904,1.93,98.07
121,2020-03,AL,196.93548387096774,0.967741935483871,195.96774193548387,0.49,99.51
122,2020-03,AR,127.48387096774194,1.1612903225806452,126.3225806451613,0.91,99.09
124,2020-03,AZ,219.5483870967742,3.6774193548387095,215.8709677419355,1.67,98.33
125,2020-03,CA,1651.225806451613,33.74193548387097,1617.483870967742,2.04,97.96
126,2020-03,CO,596.4516129032259,10.516129032258064,585.9354838709677,1.76,98.24
127,2020-03,CT,470.61290322580646,9.096774193548388,461.51612903225805,1.93,98.07
128,2020-03,DC,107.80645161290323,1.6129032258064515,106.19354838709677,1.5,98.5
129,2020-03,DE,61.064516129032256,1.032258064516129,60.03225806451613,1.69,98.31
130,2020-03,FL,1094.4193548387098,15.774193548387096,1078.6451612903227,1.44,98.56
132,2020-03,GA,814.4193548387096,23.258064516129032,791.1612903225806,2.86,97.14
133,2020-03,GU,17.032258064516128,0.3548387096774194,16.677419354838708,2.08,97.92
134,2020-03,HI,61.096774193548384,0.03225806451612903,61.064516129032256,0.05,99.95
135,2020-03,IA,89.93548387096774,0.8064516129032258,89.12903225806451,0.9,99.1
136,2020-03,ID,75.61290322580645,1.096774193548387,74.51612903225806,1.45,98.55
137,2020-03,IL,1065.6129032258063,13.451612903225806,1052.1612903225807,1.26,98.74
138,2020-03,IN,324.16129032258067,7.774193548387097,316.38709677419354,2.4,97.6
139,2020-03,KS,74.16129032258064,1.7419354838709677,72.41935483870968,2.35,97.65
140,2020-03,KY,108.74193548387096,2.7096774193548385,106.03225806451613,2.49,97.51
141,2020-03,LA,941.2903225806451,37.29032258064516,904.0,3.96,96.04
142,2020-03,MA,1108.1935483870968,10.935483870967742,1097.258064516129,0.99,99.01
143,2020-03,MD,305.03225806451616,2.6451612903225805,302.38709677419354,0.87,99.13
144,2020-03,ME,69.48387096774194,0.4838709677419355,69.0,0.7,99.3
145,2020-03,MI,1263.774193548387,30.258064516129032,1233.516129032258,2.39,97.61
146,2020-03,MN,158.41935483870967,1.8064516129032258,156.61290322580646,1.14,98.86
147,2020-03,MO,207.16129032258064,3.0,204.16129032258064,1.45,98.55
148,2020-03,MP,0.25806451612903225,0.0,0.25806451612903225,0.0,100.0
149,2020-03,MS,210.41935483870967,3.161290322580645,207.25806451612902,1.5,98.5
150,2020-03,MT,38.903225806451616,0.45161290322580644,38.45161290322581,1.16,98.84
151,2020-03,NC,271.5483870967742,0.9354838709677419,270.61290322580646,0.34,99.66
152,2020-03,ND,25.387096774193548,0.2903225806451613,25.096774193548388,1.14,98.86
153,2020-03,NE,37.74193548387097,0.3548387096774194,37.38709677419355,0.94,99.06
154,2020-03,NH,71.87096774193549,0.5483870967741935,71.3225806451613,0.76,99.24
155,2020-03,NJ,2983.032258064516,37.45161290322581,2945.5806451612902,1.26,98.74
156,2020-03,NM,63.61290322580645,0.5161290322580645,63.096774193548384,0.81,99.19
157,2020-03,NV,212.83870967741936,4.354838709677419,208.48387096774192,2.05,97.95
158,2020-03,NY,6323.032258064516,30.258064516129032,6292.774193548387,0.48,99.52
159,2020-03,NYC,8860.870967741936,163.74193548387098,8697.129032258064,1.85,98.15
160,2020-03,OH,388.83870967741933,6.870967741935484,381.96774193548384,1.77,98.23
161,2020-03,OK,102.93548387096774,3.3548387096774195,99.58064516129032,3.26,96.74
162,2020-03,OR,148.4516129032258,4.096774193548387,144.3548387096774,2.76,97.24
163,2020-03,PA,755.7096774193549,8.0,747.7096774193549,1.06,98.94
164,2020-03,PR,31.35483870967742,1.1290322580645162,30.225806451612904,3.6,96.4
166,2020-03,RI,86.93548387096774,0.5483870967741935,86.38709677419355,0.63,99.37
168,2020-03,SC,203.6451612903226,4.032258064516129,199.61290322580646,1.98,98.02
169,2020-03,SD,23.0,0.6774193548387096,22.322580645161292,2.95,97.05
170,2020-03,TN,413.5483870967742,2.225806451612903,411.3225806451613,0.54,99.46
171,2020-03,TX,582.4516129032259,7.516129032258065,574.9354838709677,1.29,98.71
172,2020-03,UT,177.90322580645162,0.7419354838709677,177.16129032258064,0.42,99.58
173,2020-03,VA,246.5483870967742,5.741935483870968,240.80645161290323,2.33,97.67
174,2020-03,VI,7.516129032258065,0.0,7.516129032258065,0.0,100.0
175,2020-03,VT,58.67741935483871,3.064516129032258,55.61290322580645,5.22,94.78
176,2020-03,WA,1485.0,72.93548387096774,1412.0645161290322,4.91,95.09
177,2020-03,WI,287.258064516129,3.3548387096774195,283.9032258064516,1.17,98.83
178,2020-03,WV,28.06451612903226,0.0967741935483871,27.967741935483872,0.34,99.66
179,2020-03,WY,23.838709677419356,0.0,23.838709677419356,0.0,100.0
180,2020-04,AK,276.23333333333335,7.666666666666667,268.56666666666666,2.78,97.22
181,2020-04,AL,4239.233333333334,116.3,4122.933333333333,2.74,97.26
182,2020-04,AR,1770.5666666666666,33.6,1736.9666666666667,1.9,98.1
184,2020-04,AZ,4288.466666666666,158.3,4130.166666666667,3.69,96.31
185,2020-04,CA,26913.3,954.4,25958.9,3.55,96.45
186,2020-04,CO,8769.133333333333,390.1,8379.033333333333,4.45,95.55
187,2020-04,CT,15559.9,989.4666666666667,14570.433333333332,6.36,93.64
188,2020-04,DC,2365.0,88.36666666666666,2276.633333333333,3.74,96.26
189,2020-04,DE,2296.6,63.166666666666664,2233.4333333333334,2.75,97.25
190,2020-04,FL,21789.533333333333,650.8333333333334,21138.7,2.99,97.01
192,2020-04,GA,15103.9,603.2,14500.7,3.99,96.01
193,2020-04,GU,127.6,4.6,123.0,3.61,96.39
194,2020-04,HI,516.7333333333333,9.2,507.53333333333336,1.78,98.22
195,2020-04,IA,2787.266666666667,65.2,2722.0666666666666,2.34,97.66
